Session Name,Charter,Areas,Strategy Type
SFM Acceptance of Sample_Flag_Management,Acceptance of Sample_Flag_Management,DR-2-011-791_Sample_Flag_Management;OS | AIX;ApplicationServer | Weblogic | 10.3;Version | 3.5.90;WEB_Browser | ??;APPS | ??;Roles | ??;ENV | ??;LANG | EN,Acceptance
SFM Exploration & Analysis of Sample_Flag_Management,Exploration & Analysis of Sample_Flag_Management,DR-2-011-791_Sample_Flag_Management;OS | AIX;ApplicationServer | Weblogic | 10.3;Version | 3.5.90;WEB_Browser | ??;APPS | ??;Roles | ??;ENV | ??;LANG | EN,Exploration & Analysis
SFM Bug Validation of Sample_Flag_Management,Bug Regression Testing of Sample_Flag_Management,DR-2-011-791_Sample_Flag_Management;OS | AIX;ApplicationServer | Weblogic | 10.3;Version | 3.5.90;WEB_Browser | ??;APPS | ??;Roles | ??;ENV | ??;LANG | EN,Bug Validation
SFM Final Validation of Sample_Flag_Management,Final Validation of Sample_Flag_Management,DR-2-011-791_Sample_Flag_Management;OS | AIX;ApplicationServer | Weblogic | 10.3;Version | 3.5.90;WEB_Browser | ??;APPS | ??;Roles | ??;ENV | ??;LANG | EN,Final Validation
PPM Acceptance of Prepaid promo management,Acceptance of Prepaid promo management,DR-2-011-276_Prepaid promo management;OS | AIX;ApplicationServer | Weblogic | 10.3;Version | 3.5.90;WEB_Browser | ??;APPS | ??;Roles | ??;ENV | ??;LANG | EN,Acceptance
